Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_113,VGND,li1,57.7300,65.2800,0.000000
FILLER_19_85,VGND,li1,46.0000,65.2800,0.000000
FILLER_19_83,VGND,li1,43.9300,65.2800,0.000000
FILLER_19_75,VGND,li1,41.8600,65.2800,0.000000
FILLER_19_63,VGND,li1,37.2600,65.2800,0.000000
FILLER_19_57,VGND,li1,32.2000,65.2800,0.000000
FILLER_19_51,VGND,li1,29.2100,65.2800,0.000000
FILLER_19_35,VGND,li1,21.8500,65.2800,0.000000
FILLER_19_29,VGND,li1,20.2400,65.2800,0.000000
FILLER_19_27,VGND,li1,18.1700,65.2800,0.000000
FILLER_19_15,VGND,li1,15.1800,65.2800,0.000000
FILLER_19_3,VGND,li1,9.6600,65.2800,0.000000
FILLER_18_117,VGND,li1,59.5700,59.8400,0.000001
FILLER_18_108,VGND,li1,55.4300,59.8400,0.000001
FILLER_18_93,VGND,li1,48.7600,59.8400,0.000002
FILLER_18_89,VGND,li1,46.6900,59.8400,0.000002
FILLER_18_85,VGND,li1,45.5400,59.8400,0.000002
FILLER_18_80,VGND,li1,43.2400,59.8400,0.000002
FILLER_18_68,VGND,li1,39.5600,59.8400,0.000002
FILLER_18_49,VGND,li1,28.7500,59.8400,0.000001
FILLER_18_37,VGND,li1,22.7700,59.8400,0.000001
FILLER_18_29,VGND,li1,19.3200,59.8400,0.000002
FILLER_18_27,VGND,li1,18.1700,59.8400,0.000002
FILLER_18_15,VGND,li1,15.1800,59.8400,0.000001
FILLER_18_3,VGND,li1,9.6600,59.8400,0.000001
FILLER_17_113,VGND,li1,57.7300,59.8400,0.000001
FILLER_17_77,VGND,li1,41.6300,59.8400,0.000002
FILLER_17_55,VGND,li1,31.0500,59.8400,0.000001
FILLER_17_41,VGND,li1,24.6100,59.8400,0.000001
FILLER_17_15,VGND,li1,13.8000,59.8400,0.000001
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000001
FILLER_16_92,VGND,li1,49.2200,54.4000,0.000003
FILLER_16_80,VGND,li1,43.2400,54.4000,0.000002
FILLER_16_68,VGND,li1,39.5600,54.4000,0.000002
FILLER_16_37,VGND,li1,22.7700,54.4000,0.000002
FILLER_16_29,VGND,li1,19.3200,54.4000,0.000001
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000001
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000001
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000001
FILLER_15_83,VGND,li1,45.0800,54.4000,0.000002
FILLER_15_77,VGND,li1,41.1700,54.4000,0.000002
FILLER_15_69,VGND,li1,39.1000,54.4000,0.000002
FILLER_15_57,VGND,li1,34.5000,54.4000,0.000002
FILLER_15_50,VGND,li1,29.9000,54.4000,0.000002
FILLER_15_27,VGND,li1,18.6300,54.4000,0.000001
FILLER_15_19,VGND,li1,16.1000,54.4000,0.000001
FILLER_15_7,VGND,li1,11.5000,54.4000,0.000001
FILLER_14_116,VGND,li1,59.3400,48.9600,0.000009
FILLER_14_67,VGND,li1,37.7200,48.9600,0.000006
FILLER_14_55,VGND,li1,33.5800,48.9600,0.000006
FILLER_14_43,VGND,li1,28.0600,48.9600,0.000006
FILLER_14_34,VGND,li1,22.5400,48.9600,0.000008
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000007
FILLER_14_15,VGND,li1,12.6500,48.9600,0.000005
FILLER_14_11,VGND,li1,11.5000,48.9600,0.000005
FILLER_14_3,VGND,li1,7.1300,48.9600,0.000005
FILLER_13_117,VGND,li1,59.5700,48.9600,0.000009
FILLER_13_102,VGND,li1,52.9000,48.9600,0.000009
FILLER_13_69,VGND,li1,37.7200,48.9600,0.000006
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000006
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000005
FILLER_13_49,VGND,li1,29.4400,48.9600,0.000006
FILLER_13_25,VGND,li1,17.9400,48.9600,0.000007
FILLER_13_3,VGND,li1,7.1300,48.9600,0.000005
FILLER_12_61,VGND,li1,34.2700,43.5200,0.000002
FILLER_12_7,VGND,li1,8.9700,43.5200,0.000002
FILLER_11_113,VGND,li1,57.7300,43.5200,0.000003
FILLER_11_107,VGND,li1,54.9700,43.5200,0.000003
FILLER_11_77,VGND,li1,41.6300,43.5200,0.000002
FILLER_11_69,VGND,li1,37.4900,43.5200,0.000003
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000002
FILLER_11_52,VGND,li1,30.3600,43.5200,0.000003
FILLER_11_28,VGND,li1,18.6300,43.5200,0.000003
FILLER_11_20,VGND,li1,14.9500,43.5200,0.000002
FILLER_11_16,VGND,li1,13.8000,43.5200,0.000002
FILLER_11_7,VGND,li1,8.9700,43.5200,0.000002
FILLER_10_96,VGND,li1,51.5200,38.0800,0.000002
FILLER_10_88,VGND,li1,46.4600,38.0800,0.000003
FILLER_10_41,VGND,li1,25.0700,38.0800,0.000008
FILLER_10_29,VGND,li1,21.6200,38.0800,0.000005
FILLER_10_20,VGND,li1,16.5600,38.0800,0.000004
FILLER_10_7,VGND,li1,10.1200,38.0800,0.000004
FILLER_9_117,VGND,li1,59.5700,38.0800,0.000002
FILLER_9_95,VGND,li1,50.6000,38.0800,0.000002
FILLER_9_63,VGND,li1,34.7300,38.0800,0.000007
FILLER_9_57,VGND,li1,33.1200,38.0800,0.000008
